,itemId,value,cm300000938_56718270e4b0e32032eb5160,cm300000938_56718270e4b09c3407e89271
0,78706269,www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,Infinity,NaN
1,93130684,www.canada.ca/en/employment-social-development/corporate/contact/ei-individual.html,Infinity,0.0
2,114109320,www.youth.service.canada.ca/en,Infinity,0.0
3,144117728,www.canada.ca/en/services/benefits/ei/cerb-application/transition/ei-questions.html,Infinity,NaN
4,273398583,www.canada.ca/en/health-canada/services/canada-food-guide/resources/snapshot/languages.html,NaN,0.0
5,294653900,www.canada.ca/fr/gouvernement/ouvrir-session-dossier-compte-en-ligne.html,Infinity,NaN
6,303830736,srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/home-accueil,Infinity,NaN
7,305598569,www.canada.ca/en/services/jobs/opportunities/government.html,NaN,0.0
8,486106655,www.canada.ca/en/employment-social-development/corporate/service-canada/home-accueil.html,NaN,0.0
9,487669232,www.canada.ca/fr/conseil-prive/services/bureau-collectivite-communications/formulaires/serie-apprentissage-virtuel.html,Infinity,NaN
10,515178917,www.canada.ca/en/employment-social-development/services/my-account/ei.html,NaN,0.0
11,599145029,www.canada.ca/en/surveys/gc-task-success-survey.html,Infinity,NaN
12,603484963,www.canada.ca/en/services/benefits/ei/cerb-application.html,NaN,0.0
13,624465911,www.youth.service.canada.ca/en/search,Infinity,NaN
14,662090711,www.canada.ca/en/employment-social-development/screening-tool/question1.html,NaN,0.0
15,679414473,www.canada.ca/fr/emploi-developpement-social/programmes/assurance-emploi/ae-liste/travail-pendant-prestations.html,Infinity,NaN
16,764824458,www.canada.ca/en/employment-social-development.html,Infinity,0.0
17,785849953,www.canada.ca/en/security-intelligence-service/corporate/csis-jobs/available-jobs/communications-advisor.html,NaN,0.0
18,836614137,www.canada.ca/en/services/benefits/disability.html,Infinity,0.0
19,871220189,www.canada.ca/en/services.html,Infinity,NaN
20,878543141,www.canada.ca/en/public-service-commission/jobs/services/gc-jobs/jobs-indigenous-people.html,Infinity,NaN
21,884245531,alpha.service.canada.ca/fr/projects/digital-center,Infinity,NaN
22,887223270,www.canada.ca/fr/services/prestations/ae/assurance-emploi-reguliere/pendant-que-vous-recevez.html,NaN,0.0
23,889889697,www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-services/government-canada-security-control-profile-cloud-based-it-services.html,Infinity,NaN
24,931425444,www.canada.ca/fr/emploi-developpement-social/services/mon-dossier/assurance-emploi.html,NaN,0.0
25,973629470,www.canada.ca/fr/emploi-developpement-social/programmes/assurance-emploi.html,Infinity,NaN
26,977685402,www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-childrens-benefit.html,NaN,0.0
27,1027537559,alpha.service.canada.ca/home,0.24802110817941952,0.4017094017094017
28,1095277062,www.canada.ca/en/services/benefits/family.html,NaN,0.0
29,1104054181,www.canada.ca/fr/emploi-developpement-social/services/mon-dossier.html,Infinity,0.0
30,1110482305,www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals.html,Infinity,0.0
31,1112950697,www.canada.ca/en/services/benefits/ei/ei-paper-reports.html,NaN,0.0
32,1114791084,www.canada.ca/en/revenue-agency/services/child-family-benefits/ccb-young-child-supplement.html,Infinity,NaN
33,1118536362,www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/devenir-citoyen-canadien.html,NaN,0.0
34,1244041314,www.youth.service.canada.ca/fr,Infinity,NaN
35,1246778700,www.canada.ca/en/services/youth.html,NaN,0.0
36,1282554014,www.canada.ca/en/revenue-agency/services/benefits/recovery-benefit.html,NaN,0.0
37,1317892946,www.canada.ca/en/revenue-agency/services/e-services/candidate-profile.html,Infinity,NaN
38,1331383426,www.canada.ca/fr/agence-revenu/services/services-electroniques/services-electroniques-particuliers/dossier-particuliers/aide-dossier.html,Infinity,NaN
39,1345191939,www.canada.ca/fr/emploi-developpement-social/services/service-canada/retroaction-en-ligne.html,NaN,0.0
40,1357790289,www.canada.ca/en/health-canada/services/infant-care.html,NaN,0.0
41,1367658485,www.canada.ca/fr/immigration-refugies-citoyennete/services/travailler-canada/permis.html,Infinity,NaN
42,1394877190,www.canada.ca/en/services/culture/cultural-attractions.html,Infinity,NaN
43,1425250265,www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html,NaN,0.0
44,1467256597,www.canada.ca/en/revenue-agency/services/benefits/recovery-benefit/crb-how-apply.html,Infinity,NaN
45,1498779221,www.canada.ca/en/news.html,NaN,0.0
46,1512757618,www.canada.ca/en/employment-social-development/programs/ei/consultation-better-program.html,Infinity,0.0
47,1571042574,www.canada.ca/en/treasury-board-secretariat.html,NaN,0.0
48,1636588189,alpha.service.canada.ca/signup/privacy,0.09090909090909091,0.5
49,1665066587,www.canada.ca/en/employment-social-development/programs/ei/ei-list/reports/sickness.html,Infinity,NaN
50,1669483264,www.canada.ca/en/government/system/digital-government/living-digital/living-beyond-2020-2021.html,Infinity,NaN
51,1692378174,www.canada.ca/en/services/benefits/ei/ei-maternity-parental/benefit-amount.html,Infinity,NaN
52,1704388186,www.canada.ca/en/fisheries-oceans/news/2021/08/canadas-fish-harvester-benefit-and-grant-program-now-open-for-second-round-applications.html,Infinity,NaN
53,1758869377,www.youth.service.canada.ca/en/resources/search/gj,NaN,0.0
54,1790382092,www.canada.ca/en/employment-social-development/services/my-account/logout.html,Infinity,NaN
55,1793539600,www.canada.ca/en/employment-social-development/campaigns/recruitment.html,Infinity,NaN
56,1798745550,www.canada.ca/en/treasury-board-secretariat/topics/benefit-plans/plans.html,Infinity,NaN
57,1821270407,alpha.service.canada.ca/thankyou,0.3333333333333333,NaN
58,1826502684,www.canada.ca/en/revenue-agency/services/benefits/apply-for-cerb-with-cra/keep-payment.html,NaN,0.0
59,1840228203,www.canada.ca/en/employment-social-development/programs/ei/ei-list/reports/regular-benefits/eligibilty.html,Infinity,NaN
60,1851545252,www.canada.ca/en/services/benefits/ei/cerb-application/transition.html,NaN,0.0
61,1859855085,www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,NaN,0.0
62,1881122710,www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada/ei-seasonal-workers.html,Infinity,NaN
63,1882249449,www.canada.ca/en/transparency/terms.html,NaN,0.0
64,1911075139,www.canada.ca/fr/services/prestations/ae/declarations-assurance-emploi.html,Infinity,0.0
65,1916496045,www.canada.ca/fr/contact.html,Infinity,NaN
66,1927100383,www.canada.ca/en/employment-social-development/services/my-account/multi-factor-authentication.html,Infinity,NaN
67,1970891608,apps8.ams-sga.cra-arc.gc.ca/gol-ged/awsc/amss/enrol/logout/land,Infinity,NaN
68,2000840923,women-gender-equality.canada.ca/en/gender-based-analysis-plus.html,Infinity,NaN
69,2018924494,www.canada.ca/en/employment-social-development/services/benefits/having-baby.html,Infinity,NaN
70,2084199686,alpha.service.canada.ca/signup,0.2796610169491525,0.35294117647058826
71,2093231786,www.canada.ca/en/employment-social-development/programs/ei/ei-list/reports/fraud-serious.html,Infinity,NaN
72,2111093650,www.canada.ca/en/treasury-board-secretariat/topics/pay/phoenix-pay-system/phoenix/claim-damages-caused-phoenix-payment-equivalent-leave.html,Infinity,NaN
73,2118979560,www.canada.ca/en/services/health/food-nutrition.html,NaN,0.0
74,2136197484,www.canada.ca/en/treasury-board-secretariat/services/collective-agreements/job-evaluation/economics-social-science-services-job-evaluation-standard.html,NaN,0.0
75,2213796845,www.canada.ca/home.html,Infinity,0.0
76,2232968425,www.canada.ca/en/government/about/design-system.html,NaN,0.0
77,2305105595,www.canada.ca/en/revenue-agency/services/tax/businesses/topics/sole-proprietorships-partnerships/accounting-methods.html,Infinity,NaN
78,2330940712,www.canada.ca/en/health-canada/corporate/social-media-health-canada/web-buttons-banners-health-canada.html,NaN,0.0
79,2357297359,www.canada.ca/fr/emploi-developpement-social/services/mon-dossier/deconnexion.html,Infinity,NaN
80,2377371441,www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Infinity,0.0
81,2387963173,apps8.ams-sga.cra-arc.gc.ca/gol-ged/icbp/bpo/prot/paymentDetails.action,Infinity,NaN
82,2399959051,www.canada.ca/fr/services/prestations/calendrier.html,Infinity,NaN
83,2401650051,www.canada.ca/en/employment-social-development/services/sin/before-applying.html,NaN,0.0
84,2423716507,www.canada.ca/en/employment-social-development/services/my-account.html,Infinity,0.0
85,2454463331,alpha.service.canada.ca/unsubscribe,0.2222222222222222,0.25
86,2461082236,www.canada.ca/en/services/benefits/covid19-emergency-benefits.html,NaN,0.0
87,2516069234,www.canada.ca/en/employment-social-development/programs/agenda-2030/moving-forward.html,Infinity,0.0
