,itemId,value,metrics/averagetimespentonsite
0,1210618,"Jul 18, 2021",0.0
1,1210619,"Jul 19, 2021",0.0
2,1210620,"Jul 20, 2021",0.0
3,1210621,"Jul 21, 2021",0.0
4,1210622,"Jul 22, 2021",0.0
5,1210623,"Jul 23, 2021",0.0
6,1210624,"Jul 24, 2021",0.0
7,1210625,"Jul 25, 2021",0.0
8,1210626,"Jul 26, 2021",0.0
9,1210627,"Jul 27, 2021",0.0
10,1210628,"Jul 28, 2021",0.0
11,1210629,"Jul 29, 2021",0.0
12,1210630,"Jul 30, 2021",182.40816326530611
13,1210631,"Jul 31, 2021",106.97272727272727
14,1210701,"Aug 1, 2021",144.375
15,1210702,"Aug 2, 2021",125.84810126582279
16,1210703,"Aug 3, 2021",248.2875
17,1210704,"Aug 4, 2021",324.01
18,1210705,"Aug 5, 2021",219.1219512195122
19,1210706,"Aug 6, 2021",343.5625
20,1210707,"Aug 7, 2021",88.57142857142857
21,1210708,"Aug 8, 2021",95.4
22,1210709,"Aug 9, 2021",203.68965517241378
23,1210710,"Aug 10, 2021",254.0
24,1210711,"Aug 11, 2021",436.5882352941176
25,1210712,"Aug 12, 2021",417.2962962962963
26,1210713,"Aug 13, 2021",270.1825396825397
27,1210714,"Aug 14, 2021",106.03846153846153
28,1210715,"Aug 15, 2021",63.81818181818182
29,1210716,"Aug 16, 2021",220.66346153846155
30,1210717,"Aug 17, 2021",220.093567251462
31,1210718,"Aug 18, 2021",245.41948310139165
32,1210719,"Aug 19, 2021",281.43283582089555
33,1210720,"Aug 20, 2021",287.7734375
34,1210721,"Aug 21, 2021",92.0
35,1210722,"Aug 22, 2021",129.0
36,1210723,"Aug 23, 2021",281.2105263157895
37,1210724,"Aug 24, 2021",236.46527777777777
38,1210725,"Aug 25, 2021",290.875
39,1210726,"Aug 26, 2021",327.7113402061856
40,1210727,"Aug 27, 2021",203.36486486486487
41,1210728,"Aug 28, 2021",212.76923076923077
42,1210729,"Aug 29, 2021",49.3
43,1210730,"Aug 30, 2021",360.3775510204082
44,1210731,"Aug 31, 2021",288.86021505376345
45,1210801,"Sep 1, 2021",346.45
